Progress,UserLanguage,Collection,LE3.199,LE3.200,LE3.201,LE5.012,LE5.013,LE5.014,LE5.015,LE5.016,LE5.017,LE5.018,LE5.019,LE5.020,LE5.021,LE5.022,LE5.023,LE5.024,LE5.025,LE5.026,LE5.027,LE5.028,LE5.029,LE5.030,LE5.031
4,ES-ES,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
4,ES-ES,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
29,ES-ES,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
25,ES-ES,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
25,ES-ES,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
73,ES-ES,Pilot,Strongly agree,Strongly agree,Strongly agree,The entire sequence of an individual's DNA, GCTA, 2 copies, .01%,Storing information for protein synthesis,More than 99%,One gene,23 pairs,A change of the genetic code itself,1 million,One gene,Points of genetic variation,More than 90% the same,Does not lead to the production of proteins,Yes,CRISPR,No,True,True,There is an approximately 30% chance that someone will pass insomnia onto their children
4,ES-ES,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
4,ES-ES,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
10,ES-ES,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
21,ES-ES,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
99,ES-ES,Pilot,Agree,Disagree,Strongly agree,The entire sequence of an individual's DNA, GHPO, 1 copy, .01%,Storing information for protein synthesis,90%,Many genes,27 pairs,A change of the genetic code itself,1 million,One gene,Proteins found in the brain,100% identical,Does not lead to the production of proteins,No,ERP,No,False,False,There is an approximately 30% chance that someone will pass insomnia onto their children
34,ES-ES,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
29,ES-ES,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
62,ES-ES,Pilot,Neither agree nor disagree,Agree,Agree,The entire sequence of an individual's DNA, HTPR, 23 copies, 50%,To repair damage to a cell,Less 50%,One gene,23 pairs,A change in gene expression,3 billion,One gene, , , , , , , , , 
4,EN,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
46,ES-ES,Pilot,Agree,Agree,Agree, , , , , , , , , , , , , , , , , , , , 
21,ES-ES,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
21,ES-ES,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
4,ES-ES,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
21,ES-ES,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
24,EN,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
73,ES-ES,Pilot,Strongly agree,Agree,Strongly agree,The entire sequence of an individual's DNA, GCTA, 2 copies, 50%,Storing information for protein synthesis,More than 99%,Many genes,23 pairs,A change in gene expression,20000,Many genes,Points of genetic variation,100% identical,Does not lead to the production of proteins,No,CRISPR,No,True,False,Genetic influences account for approximately 30% of the differences between people in insomnia
24,ES-ES,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
25,ES-ES,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
73,ES-ES,Pilot,Agree,Agree,Strongly agree,The entire sequence of an individual's DNA, GCTA, 1 copy, .01%,Storing information for protein synthesis,More than 99%,Many genes,27 pairs,Gene splicing,3 billion,One gene,Building blocks of the DNA,More than 90% the same,Does not lead to the production of proteins,Yes,CRISPR,No,True,True,Genetic influences account for approximately 30% of the differences between people in insomnia
4,EN,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
100,ES-ES,Pilot,Strongly agree,Strongly agree,Strongly agree,The entire sequence of an individual's DNA, GCTA, 2 copies,99.9%,Storing information for protein synthesis,More than 99%,Many genes,23 pairs,A change in gene expression,20000,Many genes,Points of genetic variation,100% identical,Does not lead to the production of proteins,Yes,CRISPR,No,False,True,There is an approximately 30% chance that someone will pass insomnia onto their children
100,ES-ES,Pilot,Agree,Strongly agree,Strongly agree,The entire sequence of an individual's DNA, GCTA, 2 copies, 50%,Storing information for protein synthesis,More than 99%,Many genes,23 pairs,A change in gene expression,1 million,Many genes,Points of genetic variation,100% identical,Does not lead to the production of proteins,Yes,PCR,No,True,True,There is an approximately 30% chance that someone will pass insomnia onto their children
4,ES-ES,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
23,ES-ES,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
4,ES-ES,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
9,ES-ES,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
4,EN,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
29,EN,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
25,ES-ES,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
100,ES-ES,Pilot,Strongly agree,Strongly agree,Strongly agree,The entire sequence of an individual's DNA, GCTA, 2 copies, 50%,Storing information for protein synthesis,More than 99%,Many genes,23 pairs,A change in gene expression,20000,Many genes,Points of genetic variation,100% identical,Does not lead to the production of proteins,Yes,CRISPR,No,True,True,Genetic influences account for approximately 30% of the differences between people in insomnia
49,ES-ES,Pilot,Strongly agree,Neither agree nor disagree,Agree, , , , , , , , , , , , , , , , , , , , 
25,ES-ES,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
7,ES-ES,Pilot, , , , , , , , , , , , , , , , , , , , , , , 
100,RU,Pilot, , , ,All the genes in DNA, GCTA, 2 copies, 50%,Storing information for protein synthesis,Less 50%,One gene,23 pairs,A process by which human beings can consciously change their DNA,1 million,One gene,Points of genetic variation,100% identical,Does not lead to the production of proteins,Yes,PCR,Yes,True,True,There is an approximately 30% chance that someone will pass insomnia onto their children
100,RU,Pilot,Strongly agree,Strongly agree,Agree,The entire sequence of an individual's DNA, GHPO, 2 copies, 50%,Storing information for protein synthesis,Less 50%,Many genes,23 pairs,A change in gene expression,3 billion,One gene,Points of genetic variation,About 50% the same,Does not lead to the production of proteins,Yes,ERP,No,False,True,There is an approximately 30% chance that someone will pass insomnia onto their children
100,RU,Pilot,Strongly agree,Strongly agree,Strongly agree,The entire sequence of an individual's DNA, GCTA, 2 copies, 50%,Storing information for protein synthesis,Less 50%,Many genes,23 pairs,A change in gene expression,3 billion,Many genes,Points of genetic variation,100% identical,Does not lead to the production of proteins,No,CRISPR,No,True,False,There is an approximately 30% chance that someone will pass insomnia onto their children
